ID	Weight_before	Weight_after	difference	Littersize	Partner	Weight1_P	Weight2_P	Dom1_P	Dom1	Dom2_P	Dom2	Treatment	Stress1M	Stress2M	Stress1F	Stress2F
0124	17.5	23.9	6.4	5	0831	15.4	16.3	0.16	1.00	0.10	1.75	PT	202.314	318.36	95.214	86.331
0454	18.2	23.5	5.3	3	4664	21.2	19.9	0.44379	4.75	0.40244	6.00	SO	240.471	201.768	24.234	84.084
0719	11.7	11.6	-0.1	0.0	NA	NA	NA	NA	NA	NA	NA	SO	NA	NA	20.916	115.059
0721	8.4	18.7	10.3	3	755	17.4	18.1	0.20112	2.50	0.04891	0.50	C	167.979	656.25	52.92	152.208
0724	12.4	17.2	4.8	2	758	18.1	20.3	0.24719	3.25	0.05488	0.50	AP	329.154	431.76	80.325	87.213
0725	7.9	13.7	5.8	0.0	822	28.9	30.4	0.018181818	0.00	0.357142857	4.25	AP	246.834	210.63	41.013	93.282
0752	12.9	13.9	1.0	0.0	673651D	19.6	22.3	0.121546961	1.00	0.237288136	4.25	PT	196.392	NA	32.193	41.202
0773	13.3	14.6	1.3	0.0	71D09B9	21.9	20.4	0.61585	6.00	0.35165	4.50	PT	152.586	107.646	86.94	34.419
0802	12.9	13.5	0.6	0.0	4998	17.3	25.4	0.35542	4.25	0.21023	5.50	PT	207.69	168.609	75.852	101.01
0805	14.2	13.8	-0.4	0.0	4724	23.4	21.2	0.73077	6.00	0.53672	5.25	PT	253.848	222.516	136.92	101.619
0806	12.7	24.3	11.6	5	812	21.5	21.4	0.19337	2.00	0.33714	2.50	C	137.109	NA	230.58	402.99
0807	13.0	21.8	8.8	5	71cf931	18.9	19.4	0.72527	6.00	0.52406	5.50	SO	NA	NA	158.403	509.67
0808	15.2	14.1	-1.1	0.0	534	21.4	20.1	0.21429	2.75	0.42529	4.00	AP	227.829	76.797	35.658	186.312
0835	17.7	18.6	0.9	0.0	NA	NA	NA	NA	NA	NA	NA	PT	NA	NA	105	103.698
0836	13.7	19.3	5.6	0	4999	17.7	17.8	0.105263158	0.75	0.4	5.25	C	40.005	187.593	64.071	29.946
0844	16.4	21.9	5.5	5	3343	17.7	20.8	0.086294416	0.50	0.252475248	0.00	AP	149.079	146.916	29.526	94.269
0847	15.0	14.8	-0.2	0	3318	18.2	16.1	0.19136	2.00	0.22286	3.50	C	135.681	247.695	48.552	70.959
3302	15.9	23.3	7.4	6	824	12.8	13.4	0.080924855	0.50	0.073529412	0.50	C	70.14	79.17	145.782	154.56
3303	12.3	13.0	0.7	0	3309	21.4	22.5	0.093023256	0.75	0.060240964	0.25	C	64.491	66.087	40.95	61.404
3305	16.3	17.9	1.6	0.0	3319	14.7	16.1	0.43452	4.75	0.62963	3.25	SO	392.07	308.49	106.05	192.192
3307	13.3	19.4	6.1	3	821	23.6	26.4	0.59341	6.00	0.42328	6.00	SO	171.255	446.04	76.776	129.213
3311	15.9	20.3	4.4	2	0816	28.1	28.0	0.20238	2.50	0.10667	1.50	PT	76.482	146.916	109.914	301.77
3312	16.3	17.1	0.8	0	4996	18.5	19.0	0.118644068	0.75	0.224242424	3.00	C	207.648	228.648	55.839	69.909
3314	15.0	16.4	1.4	0.0	71cc73D	25.1	21.6	0.56452	6.00	0.29885	3.25	AP	82.551	215.187	49.182	121.401
3316	18.6	20.3	1.7	0.0	803	14.7	NA	0.41667	4.75	NA	NA	AP	NA	NA	37.002	69.51
3317	16.0	21.9	5.9	4	4671	16.9	17.0	0.19737	2.25	0.25143	3.75	PT	174.636	455.49	39.144	198.429
3323	13.8	22.6	8.8	4	3386	18.6	19.9	0.065217391	0.00	0.032085561	0.25	SO	372.75	56.91	80.871	100.086
3325	11.9	13.1	1.2	0.0	4628	26.5	26.7	0.24064	2.25	0.34862	6.00	PT	86.688	159.936	72.765	178.458
3336	11.5	17.6	6.1	3	NA	NA	NA	NA	NA	NA	NA	AP	NA	NA	NA	NA
3337	20.3	29.4	9.1	6	4801	21.3	21.3	0.134502924	1.25	0.346153846	3.00	SO	NA	335.706	555.66	204.078
3339	19.6	23.1	3.5	4	4617	24.0	24.2	0.74405	6.00	0.25543	3.50	AP	NA	NA	53.214	269.703
3340	14.9	20.9	6.0	1	0167	21.7	22.0	0.33152	4.00	0.43030	5.25	PT	126.483	173.775	57.54	159.915
3344	16.3	22.4	6.1	4	850	16.4	19.4	0.12716763	1.25	0.060240964	0.25	AP	233.142	353.43	46.998	92.568
3347	13.7	20.6	6.9	4	801	15.5	22.8	0.36458	4.50	0.01724	1.25	SO	131.46	232.05	41.454	169.848
3349	12.6	11.7	-0.9	0.0	823	26.6	28.9	0.17791	1.25	0.34555	4.00	SO	52.29	126.294	44.688	375.06
3353	21.1	15.4	-5.7	0	4904	18.2	20.0	0.57485	6.00	0.33125	5.25	C	198.009	176.484	43.26	96.81
3354	16.5	21.7	5.2	5	4866	18.6	22.2	0.55621	6.00	0.33838	4.25	SO	132.006	117.621	53.55	113.547
