ID	Sex	Treatment	Tube1	Tube12	Tube123	Box1	Box12	Box123	GUD	GUD2
4653	f	PT	190	347	347	1089	1344	1344	14	6
4653	f	SO	126	216	216	379	599	599	14	6
4653	f	AP	115	192	192	920	1057	1057	17	3
4653	f	C	69	137	137	179	241	241	19	1
0723	f	PT	173	444	456	93	369	456	19	1
0723	f	SO	224	306	449	257	535	747	15	5
0723	f	AP	147	411	516	100	201	447	14	6
0723	f	C	433	465	519	252	352	627	19	1
757	f	PT	263	263	361	579	579	692	19	1
757	f	SO	37	37	329	124	124	655	17	3
757	f	AP	126	126	411	766	766	1270	16	4
757	f	C	96	122	504	899	4473	5139	13	7
766	f	PT	404	534	657	875	1633	1652	13	7
766	f	SO	99	212	427	391	935	1007	17	3
766	f	AP	205	400	1082	746	968	1229	18	2
766	f	C	60	72	170	449	482	737	19	1
4698	f	PT	111	283	421	401	657	657	15	5
4698	f	SO	104	108	108	405	881	881	18	2
4698	f	AP	89	106	106	631	659	659	17	3
4698	f	C	56	68	68	571	821	821	11	9
4924	f	PT	0	0	0	0	0	0	20	0
4924	f	SO	0	0	0	0	0	0	20	0
4924	f	AP	0	0	807	0	0	2568	19	1
4924	f	C	0	0	0	0	0	0	20	0
756	f	PT	11	17	21	685	1066	1256	13	7
756	f	SO	29	34	42	987	1303	1812	15	5
756	f	AP	57	61	68	635	1188	1416	9	11
756	f	C	21	29	33	275	462	933	15	5
4680	f	PT	70	309	696	362	667	2438	15	5
4680	f	SO	70	318	337	350	969	1012	18	2
4680	f	AP	284	502	509	1092	1727	1808	13	7
4680	f	C	117	312	344	284	676	684	15	5
0838	f	PT	74	240	711	202	318	377	20	0
0838	f	SO	197	297	1445	614	759	871	19	1
0838	f	AP	509	634	766	369	484	718	20	0
0838	f	C	169	284	385	249	329	663	20	0
762	f	PT	0	0	4	0	0	0	20	0
762	f	SO	6	6	7	2935	6535	9880	12	8
762	f	AP	9	9	15	0	0	136	20	0
762	f	C	5	5	5	0	0	0	20	0
770	f	PT	3	60	60	215	341	341	17	3
770	f	SO	18	62	64	623	919	940	17	3
770	f	AP	6	53	58	502	2181	2545	15	5
770	f	C	28	42	42	1739	1826	1826	11	9
764	f	PT	48	170	170	988	1217	1217	14	6
764	f	SO	308	406	426	195	581	679	18	2
764	f	AP	219	346	354	977	1326	1340	15	5
764	f	C	124	276	281	398	610	652	18	2
763	f	PT	133	285	347	486	748	871	15	5
763	f	SO	107	303	518	486	1439	1601	12	8
763	f	AP	147	347	601	451	1032	1574	11	9
763	f	C	118	246	391	790	1156	1785	17	3
0842	f	PT	46	282	297	353	622	782	16	4
0842	f	SO	65	422	547	121	668	1897	20	0
0842	f	AP	255	450	570	458	879	905	17	3
0842	f	C	403	640	676	1376	1795	2554	13	7
4899	f	PT	218	268	405	543	629	714	14	6
4899	f	SO	201	231	838	704	793	843	18	2
4899	f	AP	132	187	373	559	3485	5253	15	5
4899	f	C	128	184	493	325	409	495	17	3
760	f	PT	75	101	121	510	728	776	18	2
760	f	SO	51	99	153	637	909	1156	17	3
760	f	AP	226	254	283	926	1283	1453	15	5
760	f	C	54	94	191	256	2556	5068	19	1
4678	f	PT	134	165	165	188	488	488	19	1
4678	f	SO	87	129	129	1113	1468	1468	16	4
4678	f	AP	138	227	227	146	329	329	19	1
4678	f	C	220	299	299	334	365	365	16	4
3342	f	PT	16	16	26	0	0	306	15	5
3342	f	SO	11	11	14	0	0	83	15	5
3342	f	AP	35	35	58	0	0	819	15	5
3342	f	C	7	7	11	0	0	319	20	0
3346	f	PT	37	45	327	314	400	512	14	6
3346	f	SO	14	43	91	387	508	550	13	7
3346	f	AP	56	121	185	1955	4548	7074	9	11
3346	f	C	18	75	163	376	655	886	13	7
0825	f	PT	0	0	0	0	0	0	20	0
0825	f	SO	206	206	206	3346	6946	10546	10	10
0825	f	AP	0	0	0	0	0	0	20	0
0825	f	C	0	0	0	0	0	0	20	0
4925	f	PT	0	0	0	0	0	0	20	0
4925	f	SO	0	0	4	0	0	0	20	0
4925	f	AP	0	0	3	0	0	0	20	0
4925	f	C	24	24	24	0	0	0	20	0
3324	f	PT	41	180	313	43	376	436	20	0
3324	f	SO	24	282	342	117	346	348	20	0
3324	f	AP	64	151	440	863	1327	1679	17	3
3324	f	C	37	183	218	514	835	903	20	0
0701	m	PT	24	43	47	0	405	424	20	0
0701	m	SO	66	81	83	0	683	761	20	0
0701	m	AP	9	18	19	2089	2644	3366	14	6
0701	m	C	8	27	30	161	1513	4256	14	6
0776	m	PT	390	500	500	259	371	371	17	3
0776	m	SO	455	455	455	709	709	709	14	6
0776	m	AP	272	286	286	480	738	738	15	5
0776	m	C	133	141	141	338	403	403	18	2
4928	m	PT	98	105	124	271	300	328	17	3
4928	m	SO	230	240	332	1135	4600	7699	15	5
4928	m	AP	213	213	299	327	327	406	17	3
4928	m	C	286	286	299	415	415	417	17	3
4954	m	PT	345	533	586	386	470	558	20	0
4954	m	SO	205	299	377	1139	1310	1467	17	3
4954	m	AP	137	241	282	267	690	832	16	4
4954	m	C	155	192	247	333	564	705	18	2
3348	m	PT	109	111	111	1700	1825	1825	13	7
3348	m	SO	9	10	10	542	3108	6708	18	2
3348	m	AP	100	100	100	0	0	0	20	0
3348	m	C	10	12	12	661	1233	1233	8	12
3365	m	PT	300	351	447	319	374	504	18	2
3365	m	SO	211	211	432	443	443	857	17	3
3365	m	AP	245	245	547	313	313	596	15	5
3365	m	C	230	252	389	337	337	494	17	3
3364	m	PT	90	94	144	606	1020	1187	13	7
3364	m	SO	78	246	265	667	1029	1086	12	8
3364	m	AP	87	99	155	303	668	755	11	9
3364	m	C	156	239	294	929	2692	5435	13	7
4961	m	PT	57	95	99	72	508	848	13	7
4961	m	SO	298	340	342	198	479	896	15	5
4961	m	AP	87	130	132	52	485	516	15	5
4961	m	C	140	462	476	597	2393	5131	20	0
4660	m	PT	0	0	0	0	0	0	20	0
4660	m	SO	0	0	0	0	0	0	20	0
4660	m	AP	39	39	39	0	0	0	20	0
4660	m	C	8	8	8	0	0	0	20	0
4947	m	PT	10	87	89	716	796	806	19	1
4947	m	SO	208	555	558	741	1223	1274	17	3
4947	m	AP	13	113	116	295	1044	1045	13	7
4947	m	C	17	123	130	992	1442	1771	16	4
3328	m	PT	37	286	356	771	3396	3984	17	3
3328	m	SO	32	56	92	410	733	739	19	1
3328	m	AP	20	52	93	733	797	1091	16	4
3328	m	C	96	125	152	578	773	1048	18	2
4652	m	PT	442	535	556	381	772	785	17	3
4652	m	SO	134	227	320	326	712	1532	19	1
4652	m	AP	74	203	221	210	1652	1663	14	6
4652	m	C	167	278	315	530	943	967	19	1
3398	m	PT	0	0	0	0	0	0	20	0
3398	m	SO	0	0	0	0	0	0	20	0
3398	m	AP	0	5	5	0	736	4336	7	13
3398	m	C	0	0	0	0	0	0	20	0
3383	m	PT	12	12	15	1535	5135	6121	12	8
3383	m	SO	0	0	0	0	0	0	20	0
3383	m	AP	16	16	22	1348	1348	3528	16	4
3383	m	C	31	31	35	424	424	815	14	6
3341	m	PT	1136	1263	1263	65	188	188	20	0
3341	m	SO	81	147	147	55	437	437	14	6
3341	m	AP	464	650	650	34	157	157	20	0
3341	m	C	549	621	621	764	872	872	20	0
3345	m	PT	53	63	67	432	618	874	14	6
3345	m	SO	293	320	335	643	1550	1635	16	4
3345	m	AP	83	125	138	321	1111	1467	17	3
3345	m	C	684	702	738	331	715	840	20	0
4990	m	PT	47	59	164	401	518	837	14	6
4990	m	SO	277	363	429	2721	4999	7291	10	10
4990	m	AP	0	181	418	0	259	344	16	4
4990	m	C	0	59	144	0	295	445	14	6
0718	m	PT	55	65	68	1028	1056	1109	10	10
0718	m	SO	164	198	200	371	387	614	13	7
0718	m	AP	98	194	199	1150	3307	6459	9	11
0718	m	C	60	88	88	173	869	869	16	4
771	m	PT	23	30	30	810	819	819	17	3
771	m	SO	48	63	63	380	523	523	20	0
771	m	AP	19	33	33	1738	5031	8631	18	2
771	m	C	26	38	38	190	198	198	20	0
761	m	PT	61	118	147	478	615	707	17	3
761	m	SO	255	310	337	726	820	1202	14	6
761	m	AP	98	227	256	454	654	1052	11	9
761	m	C	146	198	268	663	3315	5685	13	7
3363	m	PT	68	68	68	399	399	399	13	7
3363	m	SO	83	83	83	403	403	403	17	3
3363	m	AP	134	134	134	829	829	829	17	3
3363	m	C	60	60	60	654	4254	7854	17	3
3359	m	PT	99	322	330	1051	1816	2723	7	13
3359	m	SO	75	229	260	316	805	1027	3	17
3359	m	AP	114	221	276	625	957	1692	4	16
3359	m	C	198	256	271	351	826	1173	8	12
759	m	PT	3	145	145	0	400	400	16	4
759	m	SO	49	229	232	986	1692	2881	14	6
759	m	AP	0	57	59	0	576	2824	12	8
759	m	C	7	227	227	0	495	495	17	3
0722	m	PT	14	14	16	472	472	532	17	3
0722	m	SO	49	49	95	1128	1128	1218	12	8
0722	m	AP	13	13	16	301	301	544	14	6
0722	m	C	67	67	69	427	427	630	19	1
3327	m	PT	196	370	447	476	699	760	17	3
3327	m	SO	150	283	322	728	983	1054	14	6
3327	m	AP	298	478	478	523	1120	1120	12	8
3327	m	C	240	625	887	291	851	969	17	3
3313	m	PT	24	115	119	845	911	921	12	8
3313	m	SO	30	283	1163	683	1158	1690	15	5
3313	m	AP	50	147	349	709	1163	1493	10	10
3313	m	C	25	154	258	476	606	679	13	7
4970	m	PT	45	45	45	23	23	23	20	0
4970	m	SO	28	28	28	21	21	21	20	0
4970	m	AP	57	57	57	2924	6524	10124	7	13
4970	m	C	33	33	33	0	0	0	20	0
765	m	PT	128	254	503	326	582	648	17	3
765	m	SO	68	256	466	591	1121	1177	16	4
765	m	AP	80	205	225	522	737	739	18	2
765	m	C	105	195	273	493	914	1249	17	3
