VoleID	sex	Treatment	ng/50mg	LitterBin	Difference
123	m	PT	832.86	0	653.163
124	f	PT	86.331	1	-8.883
125	m	SO	124.152	0	79.506
454	f	SO	84.084	1	59.85
534	m	AP	76.797	0	-151.032
719	f	SO	115.059	0	94.143
721	f	C	152.208	1	99.288
724	f	AP	87.213	1	6.888
725	f	AP	93.282	0	52.269
752	f	PT	41.202	0	9.009
753	m	AP	395.766	0	195.489
754	m	PT	160.188	0	-155.589
755	m	C	656.25	0	488.271
758	m	AP	431.76	0	102.606
767	m	AP	222.285	0	97.608
772	m	AP	380.415	0	69.405
773	f	PT	34.419	0	-52.521
801	m	SO	232.05	0	100.59
802	f	PT	101.01	0	25.158
804	m	C	159.957	0	-350.553
805	f	PT	101.619	0	-35.301
806	f	C	402.99	1	172.41
807	f	SO	509.67	1	351.267
808	f	AP	186.312	0	150.654
812	m	C	NA	0	NA
813	m	C	185.157	0	74.277
814	m	AP	261.24	0	58.716
815	m	AP	148.47	0	47.817
816	m	PT	146.916	0	70.434
817	m	SO	64.89	0	28.938
818	m	AP	292.887	0	82.257
821	m	SO	446.04	0	274.785
822	m	AP	210.63	0	-36.204
823	m	SO	126.294	0	74.004
824	m	C	79.17	0	9.03
826	m	C	385.98	0	308.742
828	m	SO	73.332	0	-0.084
831	m	PT	318.36	0	116.046
833	m	AP	345.45	0	154.602
835	f	PT	103.698	0	-1.302
836	f	C	29.946	0	-34.125
839	m	PT	220.815	0	125.937
841	m	AP	236.04	0	164.178
843	m	SO	79.611	0	-14.049
844	f	AP	94.269	1	64.743
845	m	SO	134.19	0	-20.895
847	f	C	70.959	0	22.407
848	m	AP	464.667	0	279.615
849	m	SO	354.921	0	311.871
850	m	AP	353.43	0	120.288
3302	f	C	154.56	1	8.778
3303	f	C	61.404	0	20.454
3305	f	SO	192.192	0	86.142
3306	m	PT	93.345	0	19.257
3307	f	SO	129.213	1	52.437
3308	m	SO	21.189	0	-0.987
3309	m	C	66.087	0	1.596
3310	m	C	235.452	0	118.881
3311	f	PT	301.77	1	191.856
3312	f	C	69.909	0	14.07
3314	f	AP	121.401	0	72.219
3315	m	C	117.579	0	36.225
3316	f	AP	69.51	0	32.508
3317	f	PT	198.429	1	159.285
3318	m	C	247.695	0	112.014
3319	m	SO	308.49	0	-83.58
3321	m	SO	123.627	0	64.281
3322	m	SO	44.52	0	-18.795
3323	f	SO	100.086	1	19.215
