Mother	Treatment	Weight	Littersize	Weight_before	Weight_after	difference	Partner	Weight1_P	Weight2_P	Dom1_P	Dom2_P	Dom1	Dom2
124	W	2.76	5	17.5	23.9	6.4	831	15.4	16.3	0.16	0.1	1	1.75
124	W	2.66	5	17.5	23.9	6.4	831	15.4	16.3	0.16	0.1	1	1.75
124	W	2.84	5	17.5	23.9	6.4	831	15.4	16.3	0.16	0.1	1	1.75
124	W	2.81	5	17.5	23.9	6.4	831	15.4	16.3	0.16	0.1	1	1.75
124	W	2.37	5	17.5	23.9	6.4	831	15.4	16.3	0.16	0.1	1	1.75
454	APC	2.05	3	18.2	23.5	5.3	4664	21.2	19.9	0.44379	0.40244	4.75	6
454	APC	2.02	3	18.2	23.5	5.3	4664	21.2	19.9	0.44379	0.40244	4.75	6
454	APC	1.51	3	18.2	23.5	5.3	4664	21.2	19.9	0.44379	0.40244	4.75	6
721	C	2.42	3	8.4	18.7	10.3	755	17.4	18.1	0.20112	0.04891	2.5	0.5
721	C	1.95	3	8.4	18.7	10.3	755	17.4	18.1	0.20112	0.04891	2.5	0.5
721	C	2.36	3	8.4	18.7	10.3	755	17.4	18.1	0.20112	0.04891	2.5	0.5
724	AP	2.16	2	12.4	17.2	4.8	758	18.1	20.3	0.24719	0.05488	3.25	0.5
724	AP	1.84	2	12.4	17.2	4.8	758	18.1	20.3	0.24719	0.05488	3.25	0.5
806	C	3.37	5	12.7	24.3	11.6	812	21.5	21.4	0.19337	0.33714	2	2.5
806	C	2.9	5	12.7	24.3	11.6	812	21.5	21.4	0.19337	0.33714	2	2.5
806	C	3.42	5	12.7	24.3	11.6	812	21.5	21.4	0.19337	0.33714	2	2.5
806	C	3.59	5	12.7	24.3	11.6	812	21.5	21.4	0.19337	0.33714	2	2.5
807	APC	1.77	5	13	21.8	8.8	71cf931	18.9	19.4	0.72527	0.52406	6	5.5
807	APC	2.09	5	13	21.8	8.8	71cf931	18.9	19.4	0.72527	0.52406	6	5.5
807	APC	1.47	5	13	21.8	8.8	71cf931	18.9	19.4	0.72527	0.52406	6	5.5
807	APC	1.7	5	13	21.8	8.8	71cf931	18.9	19.4	0.72527	0.52406	6	5.5
807	APC	1.88	5	13	21.8	8.8	71cf931	18.9	19.4	0.72527	0.52406	6	5.5
844	AP	2.1	5	16.4	21.9	5.5	3343	17.7	20.8	0.086294416	0.252475248	0.5	0
844	AP	2.09	5	16.4	21.9	5.5	3343	17.7	20.8	0.086294416	0.252475248	0.5	0
844	AP	2.09	5	16.4	21.9	5.5	3343	17.7	20.8	0.086294416	0.252475248	0.5	0
844	AP	1.57	5	16.4	21.9	5.5	3343	17.7	20.8	0.086294416	0.252475248	0.5	0
844	AP	1.91	5	16.4	21.9	5.5	3343	17.7	20.8	0.086294416	0.252475248	0.5	0
3302	C	2.18	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3302	C	2.03	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3302	C	2.09	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3302	C	2.08	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3302	C	2.18	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3302	C	2.18	6	15.9	23.3	7.4	824	12.8	13.4	0.080924855	0.073529412	0.5	0.5
3307	APC	3.23	3	13.3	19.4	6.1	821	23.6	26.4	0.59341	0.42328	6	6
3307	APC	3.32	3	13.3	19.4	6.1	821	23.6	26.4	0.59341	0.42328	6	6
3307	APC	3.05	3	13.3	19.4	6.1	821	23.6	26.4	0.59341	0.42328	6	6
3311	W	2.53	2	15.9	20.3	4.4	816	28.1	28	0.20238	0.10667	2.5	1.5
3311	W	2.49	2	15.9	20.3	4.4	816	28.1	28	0.20238	0.10667	2.5	1.5
3317	W	3.27	4	16	21.9	5.9	4671	16.9	17	0.19737	0.25143	2.25	3.75
3317	W	2.96	4	16	21.9	5.9	4671	16.9	17	0.19737	0.25143	2.25	3.75
3317	W	3.36	4	16	21.9	5.9	4671	16.9	17	0.19737	0.25143	2.25	3.75
3317	W	3.22	4	16	21.9	5.9	4671	16.9	17	0.19737	0.25143	2.25	3.75
3323	APC	2.02	4	13.8	22.6	8.8	3386	18.6	19.9	0.065217391	0.032085561	0	0.25
3323	APC	2.18	4	13.8	22.6	8.8	3386	18.6	19.9	0.065217391	0.032085561	0	0.25
3323	APC	2.22	4	13.8	22.6	8.8	3386	18.6	19.9	0.065217391	0.032085561	0	0.25
3323	APC	2.18	4	13.8	22.6	8.8	3386	18.6	19.9	0.065217391	0.032085561	0	0.25
3336	AP	1.72	3	11.5	17.6	6.1	NA	NA	NA	NA	NA	NA	NA
3336	AP	2.25	3	11.5	17.6	6.1	NA	NA	NA	NA	NA	NA	NA
3336	AP	2.52	3	11.5	17.6	6.1	NA	NA	NA	NA	NA	NA	NA
3337	APC	3.41	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3337	APC	3.34	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3337	APC	3.42	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3337	APC	3.23	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3337	APC	3.47	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3337	APC	3.3	6	20.3	29.4	9.1	4801	21.3	21.3	0.134502924	0.346153846	1.25	3
3339	AP	2.39	4	19.6	23.1	3.5	4617	24	24.2	0.74405	0.25543	6	3.5
3339	AP	2.36	4	19.6	23.1	3.5	4617	24	24.2	0.74405	0.25543	6	3.5
3339	AP	2.15	4	19.6	23.1	3.5	4617	24	24.2	0.74405	0.25543	6	3.5
3339	AP	2.4	4	19.6	23.1	3.5	4617	24	24.2	0.74405	0.25543	6	3.5
3340	W	2.82	1	14.9	20.9	6	167	21.7	22	0.33152	0.4303	4	5.25
3344	AP	1.93	4	16.3	22.4	6.1	850	16.4	19.4	0.12716763	0.060240964	1.25	0.25
3344	AP	2.05	4	16.3	22.4	6.1	850	16.4	19.4	0.12716763	0.060240964	1.25	0.25
3344	AP	1.95	4	16.3	22.4	6.1	850	16.4	19.4	0.12716763	0.060240964	1.25	0.25
3344	AP	2.05	4	16.3	22.4	6.1	850	16.4	19.4	0.12716763	0.060240964	1.25	0.25
3347	APC	3.19	4	13.7	20.6	6.9	801	15.5	22.8	0.36458	0.01724	4.5	1.25
3347	APC	3.37	4	13.7	20.6	6.9	801	15.5	22.8	0.36458	0.01724	4.5	1.25
3347	APC	3.58	4	13.7	20.6	6.9	801	15.5	22.8	0.36458	0.01724	4.5	1.25
3347	APC	3.4	4	13.7	20.6	6.9	801	15.5	22.8	0.36458	0.01724	4.5	1.25
3354	APC	3.15	5	16.5	21.7	5.2	4866	18.6	22.2	0.55621	0.33838	6	4.25
3354	APC	2.82	5	16.5	21.7	5.2	4866	18.6	22.2	0.55621	0.33838	6	4.25
3354	APC	3.4	5	16.5	21.7	5.2	4866	18.6	22.2	0.55621	0.33838	6	4.25
3354	APC	2.97	5	16.5	21.7	5.2	4866	18.6	22.2	0.55621	0.33838	6	4.25
3354	APC	2.78	5	16.5	21.7	5.2	4866	18.6	22.2	0.55621	0.33838	6	4.25
3362	C	2.39	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3362	C	2.18	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3362	C	2.37	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3362	C	2.23	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3362	C	2.17	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3362	C	2.17	6	18.2	26.7	8.5	3357	24.3	21.2	0.23392	0.61878	3	5.75
3368	APC	3.69	3	14.8	24	9.2	NA	NA	NA	NA	NA	NA	NA
3368	APC	3.48	3	14.8	24	9.2	NA	NA	NA	NA	NA	NA	NA
3368	APC	3.17	3	14.8	24	9.2	NA	NA	NA	NA	NA	NA	NA
3373	APC	2.87	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3373	APC	2.88	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3373	APC	3.02	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3373	APC	2.89	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3373	APC	2.92	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3373	APC	2.58	6	15.4	26.1	10.7	71cca5f	29	28.6	0.30233	0.18824	3.75	1.75
3378	W	2.83	3	12.5	16.8	4.3	754	19.7	20	0.078125	0.174603175	0.25	2.25
3378	W	2.8	3	12.5	16.8	4.3	754	19.7	20	0.078125	0.174603175	0.25	2.25
3378	W	2.7	3	12.5	16.8	4.3	754	19.7	20	0.078125	0.174603175	0.25	2.25
3379	APC	2.37	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3379	APC	2.3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3379	APC	2.14	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3381	W	2.99	4	20.1	22.7	2.6	3350	18.4	15.9	0.148148148	0.418848168	1.25	5
3381	W	3.17	4	20.1	22.7	2.6	3350	18.4	15.9	0.148148148	0.418848168	1.25	5
3381	W	2.87	4	20.1	22.7	2.6	3350	18.4	15.9	0.148148148	0.418848168	1.25	5
3381	W	2.48	4	20.1	22.7	2.6	3350	18.4	15.9	0.148148148	0.418848168	1.25	5
3387	W	2.08	5	15.2	22.7	7.5	4842	23.8	23.6	0.25698	0.2246	2.25	3.5
3387	W	2.04	5	15.2	22.7	7.5	4842	23.8	23.6	0.25698	0.2246	2.25	3.5
3387	W	1.95	5	15.2	22.7	7.5	4842	23.8	23.6	0.25698	0.2246	2.25	3.5
3387	W	2.35	5	15.2	22.7	7.5	4842	23.8	23.6	0.25698	0.2246	2.25	3.5
3387	W	2.11	5	15.2	22.7	7.5	4842	23.8	23.6	0.25698	0.2246	2.25	3.5
3391	C	2.31	3	17	21	4	4910	19.8	20.6	0.130434783	0.047619048	1.25	0.25
3391	C	2.29	3	17	21	4	4910	19.8	20.6	0.130434783	0.047619048	1.25	0.25
3391	C	2.18	3	17	21	4	4910	19.8	20.6	0.130434783	0.047619048	1.25	0.25
3394	W	2.98	5	15	24	9	4663	21.3	21.2	0.28916	0.43636	3.75	4.25
3394	W	2.73	5	15	24	9	4663	21.3	21.2	0.28916	0.43636	3.75	4.25
3394	W	2.91	5	15	24	9	4663	21.3	21.2	0.28916	0.43636	3.75	4.25
3394	W	2.68	5	15	24	9	4663	21.3	21.2	0.28916	0.43636	3.75	4.25
3394	W	2.78	5	15	24	9	4663	21.3	21.2	0.28916	0.43636	3.75	4.25
